ACC-759-FQM-2002->[AC-TEP 113, ACC-384-HUM-2001, 2007-BIO-210]
2004-CVI-242->[ACC-384-HUM-2001, 1997-CVI-122, 2003-CVI-271]
2005-HUM-282->[2011-HUM-423, 2005-HUM-119, 1997-HUM-620]
ACC-433-HUM-2001->[ACPAI-2003-080, AC-TEP 113, ACC-366-SEJ-2001]
REN2002-10306-E->[ACPAI-2003-080, 2011-SEJ-165, 2003-CVI-206]
2002-HUM-616->[ACC-357-SEJ-2001, 2010-HUM-692, 2003-HUM-709]
1997-CTS-279->[2006-CTS-511, 2000-CTS-406, 2008-CTS-210]
2005-HUM-287->[2006-HUM-568, 1997-HUM-184, 2003-HUM-322]
2002-HUM-625->[2003-HUM-287, 2005-HUM-697, 2002-HUM-774]
2003-FQM-153->[2000-FQM-205, 2009-FQM-226, 2005-FQM-143]
1997-CTS-281->[ACC-726-HUM-2002, 1997-CTS-140, 2003-CTS-238]
DPI2002-10851-E->[2003-HUM-646, 1997-CVI-125, 2003-HUM-568]
2007-TIC-150->[ACPAI-2003-080, 2008-TIC-134, 2004-TIC-152]
2005-HUM-272->[2011-HUM-124, 2010-HUM-411, 2000-HUM-349]
SUBNA2011-005->[2008-FQM-122, 2009-FQM-163, 2010-FQM-329]
2007-TIC-152->[ACPAI-2003-080, 2006-TIC-200, 2004-TIC-153]
FIS2004-20066-E->[2007-BIO-297, 2005-HUM-259, 2003-HUM-399]
2003-CVI-162->[2005-CVI-198, 1997-CVI-135, 2003-CVI-213]
2003-CVI-163->[2003-CVI-281, 2005-CVI-209, 2004-TEP-216]
2011-SEJ-107->[ACC-722-HUM-2002, 2011-SEJ-442, 2011-SEJ-381]
2007-TIC-153->[2000-TIC-130, 2007-HUM-316, 2011-SEJ-103]
2011-SEJ-103->[2009-SEJ-164, 2008-SEJ-465, 2011-SEJ-415]
2007-TIC-154->[ACC-948-SEJ-2002, 2006-TIC-178, 2009-TIC-193]
2007-TIC-155->[2003-HUM-225, 2008-BIO-113, 2007-TIC-153]
1997-CTS-288->[1997-CTS-204, 2010-CTS-312, 2003-CTS-928]
2002-HUM-609->[2009-HUM-245, 1997-HUM-452, 2003-HUM-752]
2004-RNM-116->[ACC-238-CVI-2001, ACC-722-HUM-2002, ACC-384-HUM-2001]
2011-SEJ-101->[2005-SEJ-415, 2000-SEJ-359, 2011-SEJ-467]
PGC2000-2359-E->[2006-FQM-344, 2003-RNM-135, 2011-RNM-331]
2010-HUM-423->[2004-HUM-111, 2000-HUM-210, 2003-HUM-649]
2005-RNM-204->[ACC-437-SEJ-2001, 2011-TEP-108, 2003-HUM-625]
1997-CTS-293->[2011-CTS-439, 2005-CTS-151, 2003-HUM-753]
2010-HUM-429->[2009-HUM-131, 2009-HUM-184, 2008-HUM-241]
1997-CTS-294->[ACC-346-TEP-2001, 1997-CTS-178, 2003-CTS-142]
2005-RNM-206->[ACPAI-2003-057, 2000-CTS-120, 2007-BIO-183]
1997-CTS-291->[2004-CTS-136, 1997-CTS-153, 2008-CTS-605]
2002-HUM-612->[2011-HUM-429, 2005-HUM-486, 2004-HUM-337]
2003-FQM-164->[ACPAI-2003-075, 2011-FQM-326, 2007-FQM-149]
1997-CTS-292->[2010-CTS-210, 2010-CTS-257, 2003-CTS-406]
2003-FQM-163->[ACPAI-2003-080, 2004-FQM-189, 2002-FQM-282]
2003-FQM-160->[2004-FQM-181, 2009-FQM-240, 2002-FQM-205]
INVM A017-07->[2005-SEJ-230, 2009-HUM-177, 2011-HUM-245]
2003-CVI-169->[2006-CVI-198, 2004-CVI-281, 1997-CVI-112]
OTRI-04-CT06-003->[ACPAI-2003-082, ACC-393-CVI-2001, 2004-CTS-211]
BFF2001-5084-E->[2009-TIC-214, 2009-FQM-120, 2002-FQM-119]
2003-CVI-198->[2004-CVI-116, 2003-CVI-102, 2002-FQM-304]
INVM A005-07->[ACC-483-CVI-2001, 2010-HUM-360, 2002-TEP-103]
INVM A005-08->[2009-HUM-507, 2005-HUM-691, 2003-HUM-752]
2008-HUM-601->[ACC-384-HUM-2001, 1997-HUM-272, 2003-HUM-914]
2007-HUM-507->[2000-HUM-323, 1997-HUM-353, 2003-HUM-700]
1997-CTS-259->[1997-CTS-375, 2008-CTS-312, 2003-CVI-120]
2009-HUM-786->[2009-HUM-146, 1997-HUM-389, 2000-HUM-395]
1997-CTS-257->[2009-CTS-312, 2006-CTS-111, 2003-HUM-212]
2009-HUM-789->[2003-HUM-376, 2003-HUM-189, 2003-HUM-353]
1997-CTS-256->[2011-CTS-523, 2000-CTS-284, 2010-CTS-113]
ACC-437-SEJ-2001->[ACC-384-HUM-2001, AC-TEP 113, ACC-357-SEJ-2001]
2003-FQM-177->[2004-FQM-331, 2009-FQM-106, 2002-FQM-327]
2002-HUM-601->[ACC-433-HUM-2001, 2005-HUM-544, 2005-HUM-214]
MAT2008-05169-E->[2004-SEJ-447, 2000-CTS-462, 2007-AGR-188]
2010-HUM-454->[2005-HUM-708, 1997-HUM-226, 2011-HUM-744]
2003-CVI-182->[ACC-384-HUM-2001, 1997-CVI-118, 2006-CVI-236]
2003-CVI-183->[ACC-384-HUM-2001, 2004-CVI-153, 2003-CVI-209]
2008-HUM-612->[2003-HUM-909, 2002-HUM-711, 2011-HUM-135]
2007-TIC-179->[2005-HUM-173, 2003-TIC-155, 2002-TIC-130]
2003-CVI-181->[ACC-384-HUM-2001, 2003-CVI-281, 2000-CVI-119]
2007-TIC-178->[2007-TIC-130, 2007-TIC-109, 1997-TIC-124]
2010-HUM-447->[2005-HUM-219, 2007-HUM-323, 2004-HUM-245]
ACC-963-CVI-2002->[ACC-384-HUM-2001, ACPAI-2003-069, ACC-357-SEJ-2001]
1997-CTS-274->[2000-CTS-444, 2008-BIO-281, 2003-CTS-142]
2003-FQM-189->[2006-FQM-189, 1997-FQM-212, 2002-FQM-329]
1997-CTS-272->[2000-CTS-291, 1997-CTS-399, 1997-CTS-388]
BFI2002-12571-E->[ACPAI-2003-076, ACPAI-2003-014, 2007-FQM-291]
2003-FQM-181->[ACPAI-2003-086, 1997-FQM-134, 2002-FQM-291]
2010-HUM-443->[ACC-384-HUM-2001, 1997-HUM-141, 2003-HUM-395]
2010-HUM-441->[2004-HUM-326, 2003-HUM-197, 2003-HUM-909]
2003-CVI-131->[ACC-384-HUM-2001, 2000-CVI-125, 2005-CVI-113]
2005-CTS-520->[1997-CTS-173, 2005-CTS-114, 2000-CTS-379]
2002-HUM-659->[2004-HUM-646, 2000-HUM-184, 2005-HUM-174]
CCT005-07-00534->[ACPAI-2003-080, AC-TEP 113, ACC-384-HUM-2001]
1997-CTS-238->[2000-CTS-233, 2000-CTS-471, 2003-CTS-908]
1997-CTS-233->[2006-CTS-151, 1997-CTS-103, 2011-CTS-591]
ACC-703-HUM-2002->[ACPAI-2003-080, AC-TEP 113, ACC-384-HUM-2001]
2007-TIC-109->[2008-TIC-203, 2006-TIC-192, 2002-TIC-178]
2005-CTS-511->[2005-CTS-511, 2008-CTS-257, 2003-HUM-282]
